Name,Discounted Price,Actual Price,Saving,Brand,Z_score
Lenovo Ideapad Slim 3 13th Gen Core i3 DOS,101999.0,129999.0,21.538627220209385,lenovo,-1.123899276899367
ASUS EXPERTBOOK B1503CVA Ci5-1334U (16GB -512GB SSD),153999.0,200000.0,23.0005,asus,0.13538514105712457
ASUS TUF FX507VV-Ci7-13620H (16GB 1TB) RTX 4060 8GB,356999.0,400000.0,10.75025,asus,0.5299468846853679
Lenovo Thinkbook 16 14th Core 7 (8GB-512GB SSD),229999.0,350000.0,34.286,lenovo,
Lenovo ThinkPad E16 G1 15.6 Inches 13th Gen Core i7 (16GB - 512GB),254999.0,300000.0,15.000333333333332,lenovo,-0.15092300836858116
Lenovo ThinkPad E14 G5 13th Gen Core i5 1335u (8GB-512GB),243999.0,290000.0,15.862413793103446,lenovo,1.2738389626033262
HP ProBook 460 G11 | Intel® Core™ Ultra 5 (16GB-512GB),197999.0,250000.0,20.8004,hp,-0.609271795844942
HP 15-FD0336TU Ci5-1334U (8GB-512GB SSD),144999.0,190000.0,23.684736842105263,hp,-0.6078084290506321
Dell Vostro 15 3530 Laptop Core™ i7-1355U (16GB-512GB),172999.0,240000.0,27.91708333333333,dell,-0.8035738079000311
Lenovo ThinkBook16 Ultra 5 225U (16GB-512GB SSD),212999.0,230000.0,7.391739130434782,lenovo,-0.6598597766826257
Lenovo Ideapad 5 13th Gen Core I7 DOS,198999.0,250000.0,20.400399999999998,lenovo,
Lenovo Thinkbook 15G2 11th Gen Core I7 D0S,181999.0,200000.0,9.0005,lenovo,
HP Probook 450 G9 12th Gen Core i7 DOS,186999.0,250000.0,25.200400000000002,hp,-0.7380820527105917
HP Probook 440 G10 13th Gen Core i7 DOS,221999.0,280000.0,20.714642857142856,hp,-0.412627524099532
Dell Inspiron 15 3530 13th Gen Core i5 1334u,143999.0,200000.0,28.0005,dell,0.07648436328572432
LENOVO LOQ 15 15IRX9 Core i5 13th Gen,261999.0,275000.0,4.727636363636364,lenovo,0.9369092680937333
Apple MacBook Air MRXW3 M3 Chip,352999.0,400000.0,11.75025,apple,-0.6788233014578039
Infinix GTBOOK 13th Generation Core i9 13900H 1TB-32GB,422500.0,442999.0,4.627324215178815,infinix,
Dell Inspiron 16 5640 Intel Core 7-150U (16GB-1TB SSD),235999.0,264999.0,10.943437522405745,dell,
Lenovo Thinkbook 14 G7 14th Gen Core Ultra 5 125U (8GB DDR5 512GB SSD),195999.0,199999.0,2.00001000005,lenovo,-1.5159318708784746
Lenovo Thinkbook 14 G7 14TH GEN Core Ultra 7 155H (8GB-512GB SSD),235999.0,239999.0,1.6666736111400464,lenovo,-1.224849854406366
Lenovo Thinkbook 16 G7 14TH GEN Core Ultra 5 125U (8GB-512GB SSD),199999.0,250000.0,20.0004,lenovo,-0.08916407040893566
Lenovo ThinkPad E14 G6 Intel Core Ultra 5 125U (8GB-512GB SSD),242999.0,250000.0,2.8004000000000002,lenovo,-0.08916407040893566
Acer Nitro V15 13th Gen Core i9 13900H (16GB-512GB SSD),312999.0,325000.0,3.6926153846153844,acer,-0.900039312936857
Apple Macbook Pro M3 A2918 (8GB-512GB SSD),494999.0,600000.0,17.500166666666665,apple,1.201000855884291
Lenovo IdeaPad Slim 3 Ryzen 3 7320U DOS (8GB-256GB SSD),99999.0,114999.0,13.043591683405943,lenovo,
Lenovo IdeaPad Slim 5 Core i7 13620H DOS (16GB-512GB SSD),209999.0,229999.0,8.695689981260788,lenovo,-0.9574210566839094
ASUS ExpertBook B1502CV 13th Gen Core i5 1355U (8GB-512GB SSD),151999.0,179999.0,15.555641975788753,asus,-1.0830811284569912
Lenovo Yoga 9 Intel Core Ultra 7 (16GB-1TB SSD),396999.0,449999.0,11.777803950675446,lenovo,0.15963485420863965
Lenovo Legion Pro 7 Ultra 9 275HX (64GB-2TB SSD) RTX 5080 16GB 240Hz,1451999.0,1499900.0,3.1936129075271684,lenovo,0.900522300234387
Lenovo Legion Pro 7 Ultra 9 275HX (64GB-2TB SSD) RTX 5090 24GB 240Hz,1552999.0,1599900.0,2.931495718482405,lenovo,1.118598122444487
HP Victus 15-FB3093DX AMD Ryzen 7-7445H (16GB-512GB SSD) RTX 4050 6GB,247999.0,285000.0,12.982807017543859,hp,1.222041483008128
HP Victus 16-R0042NE Ci7-13700H (16GB-1TB SSD) RTX™ 4060 8GB,327999.0,375000.0,12.5336,hp,0.6179784831688236
Dell 15 DC15250 Ci5-1334U (8GB-512GB SSD),147999.0,200000.0,26.0005,dell,0.07648436328572432
Apple MacBook Air MC6T4 M4 Chip,286999.0,299999.0,4.333347777825926,apple,-0.7631976374319899
Lenovo LOQ 15 Ryzen 5 7235HS (12GB-512GB SSD) RTX 4050 6GB,226999.0,255000.0,10.98078431372549,lenovo,1.115766796099474
Lenovo V15 G3 15. 6 Inches 12th Gen Core i3 DOS (4GB - 256GB SSD),125499.0,149999.0,16.333442222948154,lenovo,-0.5619566627323606
Lenovo ThinkPad E14 G4 14 Inches 12th Gen Core i5 DOS (8GB - 512GB),229999.0,260000.0,11.538846153846153,lenovo,0.5999795735841403
Lenovo V15 G3 15.6 Inches 12th Gen Core i7 DOS (8GB - 512GB),181999.0,249999.0,27.200108800435203,lenovo,-0.7269963346612731
Lenovo V15 G3 15.6 Inches 12th Gen Core i5 DOS (4GB - 256GB),179999.0,199999.0,10.00005000025,lenovo,-0.7477616664338654
HP ProBook 440 G10 Core i7 (8GB-512GB NVMe SSD),220999.0,260000.0,15.000384615384615,hp,-0.6295972098402385
Apple Macbook Pro MRX33 M3 Pro 14.2 (18GB-512GB),544999.0,600000.0,9.166833333333333,apple,1.201000855884291
Apple MacBook Pro 14.2” MTL83 (8GB-1TB),494999.0,515000.0,3.8836893203883496,apple,
Apple Macbook Pro 14 MTL73 (8GB-512GB),452999.0,500000.0,9.4002,apple,
HP 250 G10 Raptor Lake 13th Gen Core i7 (8GB-512GB),187999.0,209999.0,10.476240363049348,hp,-1.1720322726762917
HP Pavilion x360 14 EK1056TU  Core i7 (16GB-1TB),261999.0,330000.0,20.606363636363636,hp,0.12979669025223411
Lenovo V15 G4 Core i3 13th Gen,110999.0,200000.0,44.500499999999995,lenovo,0.8429279698158638
LENOVO THINBOOK 16 13TH CI5 8GB/256GB 16INCH,166000.0,200000.0,17.0,lenovo,
Lenovo V15 G4 Core i7 13th Gen (8GB-512GB),184999.0,250000.0,26.000400000000003,lenovo,-0.726984813425172
HP 250 G10 13th Gen Core i3 DOS,107499.0,120000.0,10.4175,hp,-0.9168814919107652
HP VICTUS 15-FA2701WM Ci5-13420H (16GB -512GB) RTX-4050-6GB,234999.0,300000.0,21.667,hp,1.2048307395736222
HP ProBook 460 G11 Ultra 7 155U,229999.0,300000.0,23.333666666666666,hp,-0.7382107627500561
HP ProBook 460 G11 Intel Core Ultra 5 125U (8GB-512GB),194999.0,280000.0,30.357499999999998,hp,0.9574271077563387
HP EliteBook 640 G11 14 Ultra 7 155U (8GB-512GB),293999.0,370000.0,20.54081081081081,hp,0.004547499565195329
HP Elitebook 660 G11 U7 | Intel® Core™ Ultra 7 155U (8GB-512GB),302999.0,370000.0,18.10837837837838,hp,0.004547499565195329
LENOVO LEGION PRO 5 Ci7-14650HX (16GB-1TB) RTX-4060-8GB,469999.0,495000.0,5.0507070707070705,lenovo,2.095718031352123
HP 250 G9 12th Gen Core i7 DOS,174999.0,200000.0,12.5005,hp,-1.280506267062358
HP 15-FD0229NIA Ci7-1355U (8GB-512GB SSD) 15.6 FHD,177999.0,200000.0,11.0005,hp,-1.280506267062358
HP Elitebook 650 G10 13th Gen Core I5 1335U,242999.0,300000.0,19.000333333333334,hp,
ASUS EXPERTBOOK B1403CVA Ci7-1355U (16GB -512GB SSD),181999.0,230000.0,20.87,asus,-1.1180586713483975
HP Elitebook 660 G11 Ultra 5 125U,252999.0,275000.0,8.000363636363636,hp,0.6963106238227919
Apple MacBook Air MXCV3 M3 8-Core Chip,412999.0,450000.0,8.222444444444445,apple,-0.20886726212228016
Acer Nitro V15 - Ci5-13420H (16GB-512GB) RTX 4050 6GB,247999.0,275000.0,9.818545454545454,acer,
Acer Nitro V15 13th Gen Core i9 13900H (16GB-512GB SSD) RTX 4060 8GB Graphics,354999.0,474999.0,25.263211080444382,acer,-0.27210734242337836
Acer Nitro V16 14th Gen Core i7 14650HX (16GB-512GB SSD),349999.0,415999.0,15.86542275342008,acer,1.1478232920094336
Dell Latitude 5440 13TH GEN CORE i7 1355U (8GB-512GB SSD),344999.0,370000.0,6.757027027027027,dell,0.9375110667637259
LENOVO THINKPAD E14 G6 14TH Intel Core Ultra 7 155H (16GB-512GB SSD),283999.0,299999.0,5.333351111170371,lenovo,-0.8292827948020787
LENOVO THINKPAD T14 14TH GEN Intel Core Ultra 7 155U (16GB-512GB SSD),400999.0,420000.0,4.524047619047619,lenovo,-0.03814208280917726
LENOVO THINKPAD T14 14TH GEN Intel Core Ultra 7 155U (32GB-512GB SSD),430999.0,450000.0,4.222444444444444,lenovo,0.1596414469929664
HP OMNIBOOK 14 FP0013DX Core 5 120U (8GB-512GB),167999.0,220000.0,23.63681818181818,hp,
